                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.84989,                0.82001,                 1.1839,                 0.7791,                0.81041,                0.85769,                0.55938,                 1.2038,                0.88325,                 1.6097,             0.00020407,             0.00020407,             0.00020407
                     50,                0.85267,                0.79298,                 1.1562,                0.81797,                0.80951,                0.86791,                0.54632,                 1.2223,                0.86575,                 1.6144,             0.00018907,             0.00018907,             0.00018907
                     51,                0.77108,                0.77383,                  1.177,                 0.8312,                0.76454,                0.87242,                0.53229,                 1.2353,                0.89921,                 1.6539,             0.00017407,             0.00017407,             0.00017407
                     52,                0.75168,                0.72074,                 1.1758,                0.75584,                0.82276,                0.87094,                0.54426,                 1.1798,                0.88232,                 1.6207,             0.00015907,             0.00015907,             0.00015907
                     53,                0.73477,                0.68761,                 1.1394,                0.68461,                   0.87,                0.87032,                0.53809,                 1.2127,                0.86272,                 1.6427,             0.00014408,             0.00014408,             0.00014408
                     54,                0.72191,                0.66857,                 1.1279,                0.76414,                 0.8296,                0.87551,                0.54528,                 1.2167,                0.86159,                 1.6276,             0.00012908,             0.00012908,             0.00012908
                     55,                 0.7076,                0.62951,                 1.1346,                0.78008,                0.82095,                0.87316,                0.53995,                 1.2236,                0.84627,                 1.6547,             0.00011408,             0.00011408,             0.00011408
                     56,                0.68922,                0.61676,                 1.1158,                0.70621,                0.84003,                 0.8661,                0.52282,                 1.2202,                0.87199,                 1.6476,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     57,                0.69024,                0.63368,                 1.1124,                0.73573,                0.83437,                0.86537,                0.53156,                 1.2117,                0.86274,                 1.6318,             8.4083e-05,             8.4083e-05,             8.4083e-05
                     58,                0.66737,                0.59408,                  1.103,                0.78095,                0.80954,                0.86878,                0.54389,                 1.1973,                0.83493,                 1.6179,             6.9084e-05,             6.9084e-05,             6.9084e-05
                     59,                0.66503,                0.60038,                 1.0815,                0.79101,                 0.8127,                0.87282,                0.51234,                 1.1904,                0.84463,                 1.6261,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     60,                0.66677,                0.58824,                 1.0884,                0.82327,                0.79319,                0.87265,                0.52623,                 1.1773,                0.84442,                 1.6173,             3.9087e-05,             3.9087e-05,             3.9087e-05
